transaction_id,merchant_id,customer_id,device_id,amount,currency,payment_method,timestamp,merchant_category,customer_account_age_days,device_age_days,new_device,transaction_count_1h,transaction_count_24h,amount_sum_24h,customer_avg_amount,amount_deviation,failed_attempts_24h,customer_transaction_count,previous_chargebacks,location_distance_from_previous,ip_risk_score,country_risk_score,transaction_hour,is_weekend,account_velocity,customer_history_score,fraud_label,dataset_version,scenario
txn_0000000,mch_0017,cust_00023,dev_cust_00023_0,2156.64,INR,upi,2025-11-02T03:53:51.536639+00:00,travel,180,0.0,1,0,0,0.0,2156.64,0.0,0,0,0,0.0,0.4,0.4,3,1,0.0,0.65,0,synthetic-v1,organic
txn_0000001,mch_0011,cust_00061,dev_cust_00061_1,962.6,INR,card,2025-11-02T04:50:19.154345+00:00,utilities,580,0.0,1,0,0,0.0,962.6,0.0,7,0,0,0.0,0.1286,0.0282,4,1,0.0,0.65,1,synthetic-v1,failed_attempts_burst
txn_0000002,mch_0015,cust_00007,dev_cust_00007_2,3560.56,INR,card,2025-11-02T08:17:54.600474+00:00,education,1079,0.0,1,0,0,0.0,3560.56,0.0,0,0,3,0.0,0.1002,0.17,8,1,0.0,0.2,1,synthetic-v1,organic
txn_0000003,mch_0015,cust_00112,dev_cust_00112_3,2418.87,INR,wallet,2025-11-02T23:15:16.164136+00:00,education,1229,0.0,1,0,0,0.0,2418.87,0.0,0,0,0,0.0,0.0657,0.1437,23,1,0.0,0.65,0,synthetic-v1,organic
txn_0000004,mch_0000,cust_00010,dev_cust_00010_4,1332.39,INR,card,2025-11-03T01:31:38.887741+00:00,ecommerce,895,0.0,1,0,0,0.0,1332.39,0.0,0,0,0,55.3,0.1766,0.0319,1,0,0.0,0.65,0,synthetic-v1,organic
txn_0000005,mch_0006,cust_00061,dev_cust_00061_1,1634.43,INR,wallet,2025-11-03T05:19:21.625723+00:00,fashion,581,1.02,0,0,0,0.0,962.6,0.6972,0,1,0,56.2,0.1286,0.0282,5,0,0.0,0.3,0,synthetic-v1,organic
txn_0000006,mch_0005,cust_00024,dev_cust_00024_6,4356.5,INR,card,2025-11-04T07:36:27.030255+00:00,electronics,296,0.0,1,0,0,0.0,4356.5,0.0,0,0,0,0.0,0.0245,0.2065,7,0,0.0,0.65,0,synthetic-v1,organic
txn_0000007,mch_0013,cust_00007,dev_cust_00007_2,4433.54,INR,card,2025-11-05T03:34:15.812335+00:00,electronics,1082,2.8,0,0,0,0.0,3560.56,0.2451,0,1,3,0.0,0.1002,0.17,3,0,0.0,0.05,0,synthetic-v1,organic
txn_0000008,mch_0006,cust_00003,dev_cust_00003_8,1001.24,INR,upi,2025-11-05T05:39:06.693164+00:00,fashion,519,0.0,1,0,0,0.0,1001.24,0.0,1,0,0,0.0,0.0382,0.1743,5,0,0.0,0.65,0,synthetic-v1,organic
txn_0000009,mch_0001,cust_00034,dev_cust_00034_9,2342.77,INR,upi,2025-11-05T08:44:02.639902+00:00,travel,1128,0.0,1,0,0,0.0,2342.77,0.0,0,0,0,0.0,0.0714,0.1661,8,0,0.0,0.65,0,synthetic-v1,organic
txn_0000010,mch_0010,cust_00115,dev_cust_00115_10,790.89,INR,upi,2025-11-05T09:12:13.335258+00:00,food,70,0.0,1,0,0,0.0,790.89,0.0,0,0,0,0.0,0.0747,0.0712,9,0,0.0,0.65,1,synthetic-v1,organic
txn_0000011,mch_0005,cust_00072,dev_cust_00072_11,3251.37,INR,upi,2025-11-05T21:34:51.157741+00:00,electronics,813,0.0,1,0,0,0.0,3251.37,0.0,0,0,0,0.0,0.1244,0.3808,21,0,0.0,0.65,0,synthetic-v1,organic
