transaction_id,merchant_id,customer_id,device_id,amount,currency,payment_method,timestamp,merchant_category,customer_account_age_days,device_age_days,new_device,transaction_count_1h,transaction_count_24h,amount_sum_24h,customer_avg_amount,amount_deviation,failed_attempts_24h,customer_transaction_count,previous_chargebacks,location_distance_from_previous,ip_risk_score,country_risk_score,transaction_hour,is_weekend,account_velocity,customer_history_score,fraud_label,dataset_version,scenario
txn_0000000,mch_0065,cust_01698,dev_cust_01698_0,7312.29,INR,upi,2025-11-01T05:01:42.813428+00:00,travel,910,0.0,1,0,0,0.0,7312.29,0.0,0,0,0,0.0,0.0788,0.4,5,1,0.0,0.65,0,synthetic-v1,organic
txn_0000001,mch_0056,cust_01698,dev_cust_01698_0,2213.94,INR,upi,2025-11-01T06:31:15.320488+00:00,ecommerce,910,0.06,0,0,1,7312.29,7312.29,-0.6971,0,1,0,0.0,0.0788,0.4,6,1,0.0417,0.8,0,synthetic-v1,organic
txn_0000002,mch_0022,cust_00891,dev_cust_00891_2,8259.08,INR,card,2025-11-01T07:20:41.446781+00:00,fashion,735,0.0,1,0,0,0.0,8259.08,0.0,0,0,0,0.0,0.2369,0.196,7,1,0.0,0.65,0,synthetic-v1,organic
txn_0000003,mch_0028,cust_01068,dev_cust_01068_3,796.0,INR,netbanking,2025-11-01T08:34:45.246779+00:00,digital_goods,1383,0.0,1,0,0,0.0,796.0,0.0,0,0,0,0.0,0.0347,0.01,8,1,0.0,0.65,0,synthetic-v1,organic
txn_0000004,mch_0027,cust_01698,dev_cust_01698_0,1801.78,INR,upi,2025-11-01T08:52:22.864379+00:00,utilities,910,0.16,0,0,2,9526.23,4763.12,-0.6216,0,2,0,0.0,0.0788,0.4,8,1,0.0833,0.8,0,synthetic-v1,organic
txn_0000005,mch_0047,cust_01068,dev_cust_01068_3,1385.21,INR,card,2025-11-01T09:38:27.515695+00:00,education,1383,0.04,0,0,1,796.0,796.0,0.7393,0,1,0,0.0,0.0347,0.01,9,1,0.0417,0.8,0,synthetic-v1,organic
txn_0000006,mch_0081,cust_00950,dev_cust_00950_6,6859.13,INR,netbanking,2025-11-01T10:34:32.923810+00:00,travel,91,0.0,1,0,0,0.0,6859.13,0.0,0,0,0,0.0,0.0802,0.162,10,1,0.0,0.65,1,synthetic-v1,organic
txn_0000007,mch_0033,cust_00394,dev_cust_00394_7,10001.69,INR,card,2025-11-01T11:01:35.444608+00:00,travel,239,0.0,1,0,0,0.0,10001.69,0.0,0,0,2,0.0,0.4,0.1383,11,1,0.0,0.35,1,synthetic-v1,organic
txn_0000008,mch_0066,cust_00872,dev_cust_00872_8,1570.46,INR,card,2025-11-01T11:35:06.399943+00:00,food,1208,0.0,1,0,0,0.0,1570.46,0.0,0,0,0,0.0,0.2986,0.3597,11,1,0.0,0.65,0,synthetic-v1,organic
txn_0000009,mch_0062,cust_01698,dev_cust_01698_0,1395.54,INR,upi,2025-11-01T11:35:37.352800+00:00,fashion,910,0.27,0,0,3,11328.01,3776.0,-0.6303,0,3,0,0.0,0.0788,0.4,11,1,0.125,0.8,0,synthetic-v1,organic
txn_0000010,mch_0045,cust_01114,dev_cust_01114_10,9377.8,INR,upi,2025-11-01T12:04:35.816408+00:00,electronics,1315,0.0,1,0,0,0.0,9377.8,0.0,0,0,0,0.0,0.1215,0.0353,12,1,0.0,0.65,0,synthetic-v1,organic
txn_0000011,mch_0047,cust_00433,dev_cust_00433_11,2874.5,INR,upi,2025-11-01T12:38:15.637977+00:00,education,679,0.0,1,0,0,0.0,2874.5,0.0,0,0,0,0.0,0.0506,0.2963,12,1,0.0,0.65,0,synthetic-v1,organic
txn_0000012,mch_0005,cust_01106,dev_cust_01106_12,5865.62,INR,wallet,2025-11-01T12:39:09.360885+00:00,electronics,656,0.0,1,0,0,0.0,5865.62,0.0,0,0,0,0.0,0.0668,0.1612,12,1,0.0,0.65,0,synthetic-v1,organic
txn_0000013,mch_0002,cust_01018,dev_cust_01018_13,1444.82,INR,upi,2025-11-01T12:52:46.617963+00:00,food,1328,0.0,1,0,0,0.0,1444.82,0.0,0,0,0,0.0,0.1376,0.1343,12,1,0.0,0.65,0,synthetic-v1,organic
txn_0000014,mch_0004,cust_00886,dev_cust_00886_14,927.32,INR,card,2025-11-01T14:07:58.899890+00:00,digital_goods,448,0.0,1,0,0,0.0,927.32,0.0,0,0,0,0.0,0.0106,0.1471,14,1,0.0,0.65,0,synthetic-v1,organic
txn_0000015,mch_0024,cust_01725,dev_cust_01725_15,644.87,INR,upi,2025-11-01T14:17:02.659536+00:00,ecommerce,241,0.0,1,0,0,0.0,644.87,0.0,1,0,0,0.0,0.1213,0.1181,14,1,0.0,0.65,1,synthetic-v1,organic
txn_0000016,mch_0041,cust_00908,dev_cust_00908_16,4058.1,INR,netbanking,2025-11-01T14:30:43.346005+00:00,travel,857,0.0,1,0,0,0.0,4058.1,0.0,0,0,0,0.0,0.0401,0.0477,14,1,0.0,0.65,1,synthetic-v1,organic
txn_0000017,mch_0033,cust_00775,dev_cust_00775_17,1743.68,INR,upi,2025-11-01T14:31:44.706029+00:00,travel,139,0.0,1,0,0,0.0,1743.68,0.0,0,0,0,0.0,0.1794,0.1043,14,1,0.0,0.65,0,synthetic-v1,organic
txn_0000018,mch_0002,cust_00228,dev_cust_00228_18,470.99,INR,card,2025-11-01T14:35:12.250483+00:00,food,38,0.0,1,0,0,0.0,470.99,0.0,0,0,0,0.0,0.1286,0.0328,14,1,0.0,0.65,0,synthetic-v1,organic
txn_0000019,mch_0078,cust_01479,dev_cust_01479_19,1854.93,INR,upi,2025-11-01T14:43:38.380437+00:00,fashion,258,0.0,1,0,0,0.0,1854.93,0.0,0,0,0,0.0,0.0401,0.1559,14,1,0.0,0.65,0,synthetic-v1,organic
txn_0000020,mch_0062,cust_01707,dev_cust_01707_20,1427.67,INR,card,2025-11-01T15:37:04.838747+00:00,fashion,538,0.0,1,0,0,0.0,1427.67,0.0,0,0,0,0.0,0.3864,0.0605,15,1,0.0,0.65,0,synthetic-v1,organic
txn_0000021,mch_0059,cust_01053,dev_cust_01053_21,442.65,INR,netbanking,2025-11-01T15:39:08.944297+00:00,utilities,78,0.0,1,0,0,0.0,442.65,0.0,0,0,0,0.0,0.1271,0.0614,15,1,0.0,0.65,0,synthetic-v1,organic
txn_0000022,mch_0038,cust_01159,dev_cust_01159_22,3781.02,INR,upi,2025-11-01T15:43:09.983602+00:00,fashion,321,0.0,1,0,0,0.0,3781.02,0.0,0,0,0,0.0,0.1583,0.0255,15,1,0.0,0.65,0,synthetic-v1,organic
txn_0000023,mch_0025,cust_00438,dev_cust_00438_23,2099.54,INR,netbanking,2025-11-01T16:00:29.661103+00:00,travel,389,0.0,1,0,0,0.0,2099.54,0.0,1,0,0,0.0,0.1064,0.1959,16,1,0.0,0.65,1,synthetic-v1,organic
txn_0000024,mch_0002,cust_00891,dev_cust_00891_2,1368.39,INR,card,2025-11-01T16:19:17.351436+00:00,food,735,0.37,0,0,1,8259.08,8259.08,-0.8342,0,1,0,0.0,0.2369,0.196,16,1,0.0417,0.8,0,synthetic-v1,organic
txn_0000025,mch_0069,cust_01725,dev_cust_01725_15,8725.22,INR,netbanking,2025-11-01T16:36:22.916787+00:00,electronics,241,0.1,0,0,1,644.87,644.87,12.5108,0,1,0,0.0,0.1213,0.1181,16,1,0.0417,0.3,0,synthetic-v1,organic
txn_0000026,mch_0004,cust_00950,dev_cust_00950_6,655.65,INR,wallet,2025-11-01T16:57:41.728891+00:00,digital_goods,91,0.27,0,0,1,6859.13,6859.13,-0.9043,0,1,0,0.0,0.0802,0.162,16,1,0.0417,0.3,0,synthetic-v1,organic
txn_0000027,mch_0086,cust_01327,dev_cust_01327_27,1170.54,INR,card,2025-11-01T17:20:06.159615+00:00,fashion,268,0.0,1,0,0,0.0,1170.54,0.0,1,0,0,0.0,0.0723,0.1525,17,1,0.0,0.65,0,synthetic-v1,organic
txn_0000028,mch_0072,cust_01668,dev_cust_01668_28,4457.2,INR,upi,2025-11-01T17:36:41.833944+00:00,ecommerce,620,0.0,1,0,0,0.0,4457.2,0.0,0,0,0,0.0,0.0301,0.172,17,1,0.0,0.65,0,synthetic-v1,organic
txn_0000029,mch_0073,cust_01075,dev_cust_01075_29,6249.28,INR,upi,2025-11-01T18:39:17.844312+00:00,travel,1222,0.0,1,0,0,0.0,6249.28,0.0,0,0,0,0.0,0.1208,0.1436,18,1,0.0,0.65,0,synthetic-v1,organic
txn_0000030,mch_0015,cust_01106,dev_cust_01106_12,2372.84,INR,upi,2025-11-01T18:42:18.618129+00:00,education,656,0.25,0,0,1,5865.62,5865.62,-0.5954,0,1,0,0.0,0.0668,0.1612,18,1,0.0417,0.8,0,synthetic-v1,organic
txn_0000031,mch_0013,cust_01698,dev_cust_01698_0,8854.21,INR,wallet,2025-11-01T19:07:31.855375+00:00,electronics,910,0.59,0,0,4,12723.55,3180.89,1.783,0,4,0,0.0,0.0788,0.4,19,1,0.1667,0.8,0,synthetic-v1,organic
txn_0000032,mch_0067,cust_00872,dev_cust_00872_8,791.53,INR,wallet,2025-11-01T19:15:18.198618+00:00,utilities,1208,0.32,0,0,1,1570.46,1570.46,-0.4957,0,1,0,0.0,0.2986,0.3597,19,1,0.0417,0.8,0,synthetic-v1,organic
txn_0000033,mch_0060,cust_00388,dev_cust_00388_33,863.4,INR,upi,2025-11-01T19:27:13.414940+00:00,digital_goods,647,0.0,1,0,0,0.0,863.4,0.0,0,0,0,0.0,0.2165,0.0811,19,1,0.0,0.65,0,synthetic-v1,organic
txn_0000034,mch_0081,cust_00228,dev_cust_00228_18,4420.65,INR,upi,2025-11-01T19:27:16.996249+00:00,travel,38,0.2,0,0,1,470.99,470.99,8.3682,0,1,0,0.0,0.1286,0.0328,19,1,0.0417,0.8,0,synthetic-v1,organic
txn_0000035,mch_0031,cust_00908,dev_cust_00908_16,2136.04,INR,upi,2025-11-01T19:33:34.905659+00:00,education,857,0.21,0,0,1,4058.1,4058.1,-0.4735,0,1,0,0.0,0.0401,0.0477,19,1,0.0417,0.3,0,synthetic-v1,organic
txn_0000036,mch_0081,cust_00494,dev_cust_00494_36,4189.0,INR,card,2025-11-01T19:38:27.560328+00:00,travel,1392,0.0,1,0,0,0.0,4189.0,0.0,0,0,0,0.0,0.1284,0.031,19,1,0.0,0.65,0,synthetic-v1,organic
txn_0000037,mch_0000,cust_01741,dev_cust_01741_37,1942.18,INR,netbanking,2025-11-01T20:01:46.884461+00:00,ecommerce,659,0.0,1,0,0,0.0,1942.18,0.0,0,0,0,0.0,0.291,0.0683,20,1,0.0,0.65,0,synthetic-v1,organic
txn_0000038,mch_0055,cust_01698,dev_cust_01698_0,2519.05,INR,upi,2025-11-01T20:09:39.049843+00:00,education,910,0.63,0,0,5,21577.75,4315.55,-0.4162,0,5,0,0.0,0.0788,0.4,20,1,0.2083,0.8,0,synthetic-v1,organic
